"(Server Name, Domain)",Servers known in domain
"('d.dns.jp.', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'b.dns.jp.', 'e.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('f.dns.jp.', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'e.dns.jp.', 'b.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('a.dns.jp.', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'b.dns.jp.', 'e.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('h.dns.jp.', 'jp')","{'g.dns.jp.', 'c.dns.jp.', 'e.dns.jp.', 'b.dns.jp.', 'd.dns.jp.', 'f.dns.jp.', 'a.dns.jp.', 'h.dns.jp.'}"
"('g.dns.jp.', 'co.jp')",{'z.dns.jp.'}
"('c.dns.jp.', 'co.jp')",{'z.dns.jp.'}
"('b.dns.jp.', 'co.jp')",{'z.dns.jp.'}
"('e.dns.jp.', 'co.jp')",{'z.dns.jp.'}
"('d.dns.jp.', 'co.jp')",{'z.dns.jp.'}
"('f.dns.jp.', 'co.jp')",{'z.dns.jp.'}
"('a.dns.jp.', 'co.jp')",{'z.dns.jp.'}
"('h.dns.jp.', 'co.jp')",{'z.dns.jp.'}
"('nsb.nic.uk.', 'org.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('nsa.nic.uk.', 'org.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
"('dns4.nic.uk.', 'org.uk')","{'nsb.nic.uk.', 'nsa.nic.uk.', 'dns4.nic.uk.', 'dns2.nic.uk.', 'nsc.nic.uk.', 'dns3.nic.uk.', 'nsd.nic.uk.', 'dns1.nic.uk.'}"
