"(Server Name, Domain)",Servers known in domain
"('f.dns.ripn.net.', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('e.dns.ripn.net.', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('d.dns.ripn.net.', 'ru')","{'b.dns.ripn.net.', 'a.dns.ripn.net.', 'f.dns.ripn.net.', 'e.dns.ripn.net.', 'd.dns.ripn.net.'}"
"('g.root-servers.net', 'se')","{'g.ns.se.', 'c.ns.se.', 'i.ns.se.', 'z.ns.se.', 'y.ns.se.', 'x.ns.se.', 'a.ns.se.', 'f.ns.se.', 'b.ns.se.', 'j.ns.se.'}"
"('e.root-servers.net', 'se')","{'g.ns.se.', 'c.ns.se.', 'i.ns.se.', 'z.ns.se.', 'y.ns.se.', 'x.ns.se.', 'a.ns.se.', 'f.ns.se.', 'b.ns.se.', 'j.ns.se.'}"
"('d.root-servers.net', 'se')","{'g.ns.se.', 'c.ns.se.', 'i.ns.se.', 'z.ns.se.', 'y.ns.se.', 'x.ns.se.', 'a.ns.se.', 'f.ns.se.', 'b.ns.se.', 'j.ns.se.'}"
"('i.root-servers.net', 'se')","{'g.ns.se.', 'c.ns.se.', 'i.ns.se.', 'z.ns.se.', 'y.ns.se.', 'x.ns.se.', 'a.ns.se.', 'f.ns.se.', 'b.ns.se.', 'j.ns.se.'}"
"('b.root-servers.net', 'se')","{'g.ns.se.', 'c.ns.se.', 'i.ns.se.', 'z.ns.se.', 'y.ns.se.', 'x.ns.se.', 'a.ns.se.', 'f.ns.se.', 'b.ns.se.', 'j.ns.se.'}"
"('j.root-servers.net', 'se')","{'g.ns.se.', 'c.ns.se.', 'i.ns.se.', 'z.ns.se.', 'y.ns.se.', 'x.ns.se.', 'a.ns.se.', 'f.ns.se.', 'b.ns.se.', 'j.ns.se.'}"
"('k.root-servers.net', 'se')","{'g.ns.se.', 'c.ns.se.', 'i.ns.se.', 'z.ns.se.', 'y.ns.se.', 'x.ns.se.', 'a.ns.se.', 'f.ns.se.', 'b.ns.se.', 'j.ns.se.'}"
"('l.root-servers.net', 'se')","{'g.ns.se.', 'c.ns.se.', 'i.ns.se.', 'z.ns.se.', 'y.ns.se.', 'x.ns.se.', 'a.ns.se.', 'f.ns.se.', 'b.ns.se.', 'j.ns.se.'}"
