Server Name,Server Information
s.au.,"DNS information
Domain: au
Host: s.au.
IPv4 Addresses: 65.22.198.1 
IPv6 Addresses :2a01:8840:c0::1 
Description: Name server for domain ""au"""
t.au.,"DNS information
Domain: au
Host: t.au.
IPv4 Addresses: 65.22.199.1 
IPv6 Addresses :2a01:8840:c1::1 
Description: Name server for domain ""au"""
u.au.,"DNS information
Domain: au
Host: u.au.
IPv4 Addresses: 211.29.133.32 
IPv6 Addresses : No information
Description: Name server for domain ""au"""
v.au.,"DNS information
Domain: au
Host: v.au.
IPv4 Addresses: 202.12.31.53 
IPv6 Addresses :2001:dd8:12::53 
Description: Name server for domain ""au"""
a.nic.de.,"DNS information
Domain: de
Host: a.nic.de.
IPv4 Addresses: 194.0.0.53 
IPv6 Addresses :2001:678:2::53 
Description: Name server for domain ""de"""
f.nic.de.,"DNS information
Domain: de
Host: f.nic.de.
IPv4 Addresses: 81.91.164.5 
IPv6 Addresses :2a02:568:0:2::53 
Description: Name server for domain ""de"""
l.de.net.,"DNS information
Domain: de
Host: l.de.net.
IPv4 Addresses: 77.67.63.105 
IPv6 Addresses :2001:668:1f:11::105 
Description: Name server for domain ""de"""
n.de.net.,"DNS information
Domain: de
Host: n.de.net.
IPv4 Addresses: 194.146.107.6 
IPv6 Addresses :2001:67c:1011:1::53 
Description: Name server for domain ""de"""
s.de.net.,"DNS information
Domain: de
Host: s.de.net.
IPv4 Addresses: 195.243.137.26 
IPv6 Addresses :2003:8:14::53 
Description: Name server for domain ""de"""
z.nic.de.,"DNS information
Domain: de
Host: z.nic.de.
IPv4 Addresses: 194.246.96.1 
IPv6 Addresses : No information
Description: Name server for domain ""de"""
ns.nic.kz.,"DNS information
Domain: kz
Host: ns.nic.kz.
IPv4 Addresses: 194.0.21.5 
IPv6 Addresses :2001:678:98:1::5 
Description: Name server for domain ""kz"""
ns1.nic.kz.,"DNS information
Domain: kz
Host: ns1.nic.kz.
IPv4 Addresses: 185.79.212.7 
IPv6 Addresses :2a01:7640:9000::7 
Description: Name server for domain ""kz"""
a.dns.ar.,"DNS information
Domain: ar
Host: a.dns.ar.
IPv4 Addresses: 200.108.145.50 
IPv6 Addresses :2801:140::10 
Description: Name server for domain ""ar"""
b.dns.ar.,"DNS information
Domain: ar
Host: b.dns.ar.
IPv4 Addresses: 200.108.147.50 
IPv6 Addresses :2801:140:11::50 
Description: Name server for domain ""ar"""
