"(Server Name, Domain)",Servers known in domain
"('f.root-servers.net', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('m.root-servers.net', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('k.root-servers.net', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('g.root-servers.net', 'be')","{'y.ns.dns.be.', 'a.ns.dns.be.', 'x.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('l.root-servers.net', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('y.ns.dns.be.', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('a.ns.dns.be.', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('x.ns.dns.be.', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('b.ns.dns.be.', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('d.ns.dns.be.', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('c.ns.dns.be.', 'be')","{'y.ns.dns.be.', 'x.ns.dns.be.', 'a.ns.dns.be.', 'b.ns.dns.be.', 'd.ns.dns.be.', 'c.ns.dns.be.'}"
"('c.root-servers.net', 'gl')","{'a.gl.dyntld.net.', 'a.nuuk.nic.gl.', 'b.gl.dyntld.net.', 'd.nic.gl.'}"
"('h.root-servers.net', 'gl')","{'a.gl.dyntld.net.', 'a.nuuk.nic.gl.', 'b.gl.dyntld.net.', 'd.nic.gl.'}"
"('d.root-servers.net', 'gl')","{'a.gl.dyntld.net.', 'a.nuuk.nic.gl.', 'b.gl.dyntld.net.', 'd.nic.gl.'}"
"('i.root-servers.net', 'gl')","{'a.gl.dyntld.net.', 'a.nuuk.nic.gl.', 'b.gl.dyntld.net.', 'd.nic.gl.'}"
"('a.root-servers.net', 'gl')","{'a.gl.dyntld.net.', 'a.nuuk.nic.gl.', 'b.gl.dyntld.net.', 'd.nic.gl.'}"
"('j.root-servers.net', 'gl')","{'a.gl.dyntld.net.', 'a.nuuk.nic.gl.', 'b.gl.dyntld.net.', 'd.nic.gl.'}"
