Server Name,Server Information
ns.runnet.ru.,"DNS information
Domain: edu.ru
Host: ns.runnet.ru.
IPv4 Addresses: 194.85.32.18 
IPv6 Addresses : No information
Description: Name server for domain ""edu.ru"""
ns1.wikimedia.org.,"DNS information
Domain: wikipedia.org
Host: ns1.wikimedia.org.
IPv4 Addresses: 208.80.153.231 
IPv6 Addresses : No information
Description: Name server for domain ""wikipedia.org"""
b.ns.tznic.or.tz.,"DNS information
Domain: ac.ke
Host: b.ns.tznic.or.tz.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""ac.ke"""
a2.asia.afilias-nst.info.,"DNS information
Domain: asia
Host: a2.asia.afilias-nst.info.
IPv4 Addresses: 199.249.114.1 
IPv6 Addresses :2001:500:42::1 
Description: Name server for domain ""asia"""
c.cctld.us.,"DNS information
Domain: us
Host: c.cctld.us.
IPv4 Addresses: 156.154.127.70 
IPv6 Addresses : No information
Description: Name server for domain ""us"""
deneb.dfn.de.,"DNS information
Domain: edu.cn
Host: deneb.dfn.de.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""edu.cn"""
e.ext.nic.fr.,"DNS information
Domain: fr
Host: e.ext.nic.fr.
IPv4 Addresses: 193.176.144.22 
IPv6 Addresses :2a00:d78:0:102:193:176:144:22 
Description: Name server for domain ""fr"""
h.root-servers.net,"DNS information
Domain: Root Domain
Host: h.root-servers.net
IPv4 Addresses: 198.97.190.53 
IPv6 Addresses :2001:500:1::53 
Description: US Army (Research Lab)"
nsc.nic.de.,"DNS information
Domain: cat
Host: nsc.nic.de.
IPv4 Addresses: 194.0.11.110 
IPv6 Addresses :2001:678:e:110::53 
Description: Name server for domain ""cat"""
ns3.magic.mn.,"DNS information
Domain: mn
Host: ns3.magic.mn.
IPv4 Addresses: 202.131.224.80 
IPv6 Addresses : No information
Description: Name server for domain ""mn"""
ns4.nic.la.,"DNS information
Domain: la
Host: ns4.nic.la.
IPv4 Addresses: 194.169.218.15 
IPv6 Addresses :2001:67c:13cc::1:15 
Description: Name server for domain ""la"""
a.gtld.travel.,"DNS information
Domain: travel
Host: a.gtld.travel.
IPv4 Addresses: 156.154.100.1 
IPv6 Addresses :2001:502:ad09::1 
Description: Name server for domain ""travel"""
ns.anycast.nic.gs.,"DNS information
Domain: gs
Host: ns.anycast.nic.gs.
IPv4 Addresses: 204.61.216.21 
IPv6 Addresses :2001:500:14:6021:ad::1 
Description: Name server for domain ""gs"""
ns1.alibabadns.com.,"DNS information
Domain: 1688.com
Host: ns1.alibabadns.com.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""1688.com"""
ns.GOV.RU.,"DNS information
Domain: gov.ru
Host: ns.GOV.RU.
IPv4 Addresses: 95.173.128.77 
IPv6 Addresses : No information
Description: Name server for domain ""gov.ru"""
anycast24.irondns.net.,"DNS information
Domain: scot
Host: anycast24.irondns.net.
IPv4 Addresses: 195.253.65.12 
IPv6 Addresses :2a01:5b0:5::c 
Description: Name server for domain ""scot"""
ns5.nic.dz.,"DNS information
Domain: dz
Host: ns5.nic.dz.
IPv4 Addresses: 193.0.9.71 
IPv6 Addresses :2001:67c:e0::71 
Description: Name server for domain ""dz"""
EUR2.nipr.mil.,"DNS information
Domain: mil
Host: EUR2.nipr.mil.
IPv4 Addresses: 199.252.143.234 
IPv6 Addresses : No information
Description: Name server for domain ""mil"""
e.dns.cn.,"DNS information
Domain: cn
Host: e.dns.cn.
IPv4 Addresses: 203.119.29.1 
IPv6 Addresses : No information
Description: Name server for domain ""cn"""
ho1.ns.ua.,"DNS information
Domain: ua
Host: ho1.ns.ua.
IPv4 Addresses: 195.47.253.1 
IPv6 Addresses :2001:67c:258::1 
Description: Name server for domain ""ua"""
a5-65.akam.net.,"DNS information
Domain: elpais.com
Host: a5-65.akam.net.
IPv4 Addresses: 95.100.168.65 
IPv6 Addresses :2600:1480:b000::41 
Description: Name server for domain ""elpais.com"""
a.dns.cn.,"DNS information
Domain: cn
Host: a.dns.cn.
IPv4 Addresses: 203.119.25.1 
IPv6 Addresses :2001:dc7::1 
Description: Name server for domain ""cn"""
ns-cloud-d1.googledomains.com.,"DNS information
Domain: stackexchange.com
Host: ns-cloud-d1.googledomains.com.
IPv4 Addresses: 216.239.32.109 
IPv6 Addresses :2001:4860:4802:32::6d 
Description: Name server for domain ""stackexchange.com"""
i.root-servers.net,"DNS information
Domain: Root Domain
Host: i.root-servers.net
IPv4 Addresses: 192.36.148.17 
IPv6 Addresses :2001:7fe::53 
Description: Netnod"
ns7.pinterest.com.,"DNS information
Domain: pinterest.com
Host: ns7.pinterest.com.
IPv4 Addresses: 198.51.44.73 
IPv6 Addresses :2620:4d:4000:6259:7::90 
Description: Name server for domain ""pinterest.com"""
ns5.dns.ws.,"DNS information
Domain: ws
Host: ns5.dns.ws.
IPv4 Addresses: 64.70.19.70 
IPv6 Addresses : No information
Description: Name server for domain ""ws"""
f.gtld-servers.net.,"DNS information
Domain: com
Host: f.gtld-servers.net.
IPv4 Addresses: 192.35.51.30 
IPv6 Addresses :2001:503:d414::30 
Description: Name server for domain ""com"""
c.dns.tw.,"DNS information
Domain: tw
Host: c.dns.tw.
IPv4 Addresses: 203.66.87.201 
IPv6 Addresses :2001:b020:0:77::1 
Description: Name server for domain ""tw"""
ns.gov.mn.,"DNS information
Domain: gov.mn
Host: ns.gov.mn.
IPv4 Addresses: 218.100.84.161 
IPv6 Addresses : No information
Description: Name server for domain ""gov.mn"""
b0.pr.afilias-nst.org.,"DNS information
Domain: pr
Host: b0.pr.afilias-nst.org.
IPv4 Addresses: 199.254.60.17 
IPv6 Addresses :2001:500:26::17 
Description: Name server for domain ""pr"""
ns4.dns.nic.party.,"DNS information
Domain: party
Host: ns4.dns.nic.party.
IPv4 Addresses: 156.154.172.24 
IPv6 Addresses :2610:a1:1074::1:18 
Description: Name server for domain ""party"""
pch.nic.tt.,"DNS information
Domain: tt
Host: pch.nic.tt.
IPv4 Addresses: 204.61.216.63 
IPv6 Addresses :2001:500:14:6063:ad::1 
Description: Name server for domain ""tt"""
a0.cctld.afilias-nst.info.,"DNS information
Domain: ac.in
Host: a0.cctld.afilias-nst.info.
IPv4 Addresses: 199.254.59.1 
IPv6 Addresses :2001:500:25::1 
Description: Name server for domain ""ac.in"""
ns2.nic.net.ng.,"DNS information
Domain: ng
Host: ns2.nic.net.ng.
IPv4 Addresses: 204.61.216.40 
IPv6 Addresses : No information
Description: Name server for domain ""ng"""
lns31.nic.tr.,"DNS information
Domain: com.tr
Host: lns31.nic.tr.
IPv4 Addresses: 31.210.155.2 
IPv6 Addresses : No information
Description: Name server for domain ""com.tr"""
pe1.dnsnode.net.,"DNS information
Domain: pe
Host: pe1.dnsnode.net.
IPv4 Addresses: 194.146.106.82 
IPv6 Addresses :2001:67c:1010:20::53 
Description: Name server for domain ""pe"""
ns4.ja.net.,"DNS information
Domain: ac.uk
Host: ns4.ja.net.
IPv4 Addresses: 193.62.157.66 
IPv6 Addresses :2001:630:0:47::42 
Description: Name server for domain ""ac.uk"""
b2.mobi.afilias-nst.org.,"DNS information
Domain: mobi
Host: b2.mobi.afilias-nst.org.
IPv4 Addresses: 199.249.126.1 
IPv6 Addresses :2001:500:4e::1 
Description: Name server for domain ""mobi"""
d.root-servers.net,"DNS information
Domain: Root Domain
Host: d.root-servers.net
IPv4 Addresses: 199.7.91.13 
IPv6 Addresses :2001:500:2d::d 
Description: University of Maryland"
lns42.nic.tr.,"DNS information
Domain: edu.tr
Host: lns42.nic.tr.
IPv4 Addresses: 185.7.0.3 
IPv6 Addresses :2001:a98:10:eeee::42 
Description: Name server for domain ""edu.tr"""
ns-pri.nic.am.,"DNS information
Domain: am
Host: ns-pri.nic.am.
IPv4 Addresses: 195.43.75.53 
IPv6 Addresses :2001:7f9:8:53::1 
Description: Name server for domain ""am"""
ns2.dns.nl.,"DNS information
Domain: nl
Host: ns2.dns.nl.
IPv4 Addresses: 194.146.106.42 
IPv6 Addresses :2001:67c:1010:10::53 
Description: Name server for domain ""nl"""
ns1.uba.ar.,"DNS information
Domain: edu.ar
Host: ns1.uba.ar.
IPv4 Addresses: 157.92.1.1 
IPv6 Addresses :2001:1318:100c:1::1 
Description: Name server for domain ""edu.ar"""
a.mynic.net.my.,"DNS information
Domain: my
Host: a.mynic.net.my.
IPv4 Addresses: 49.236.194.202 
IPv6 Addresses :2401:b000:602:1001::11 
Description: Name server for domain ""my"""
sns-pb.isc.org.,"DNS information
Domain: ua
Host: sns-pb.isc.org.
IPv4 Addresses: 192.5.4.1 
IPv6 Addresses :2001:500:2e::1 
Description: Name server for domain ""ua"""
y.ns.dns.be.,"DNS information
Domain: be
Host: y.ns.dns.be.
IPv4 Addresses: 120.29.253.8 
IPv6 Addresses :2001:dcd:7::8 
Description: Name server for domain ""be"""
c0.xxx.afilias-nst.info.,"DNS information
Domain: xxx
Host: c0.xxx.afilias-nst.info.
IPv4 Addresses: 199.115.154.1 
IPv6 Addresses :2001:500:a2::1 
Description: Name server for domain ""xxx"""
ns-a1.sh.,"DNS information
Domain: sh
Host: ns-a1.sh.
IPv4 Addresses: 194.0.1.1 
IPv6 Addresses :2001:678:4::1 
Description: Name server for domain ""sh"""
DSANY2.SGNIC.SG.,"DNS information
Domain: sg
Host: DSANY2.SGNIC.SG.
IPv4 Addresses:  No information
IPv6 Addresses : No information
Description: Name server for domain ""sg"""
a2.nic.sh.,"DNS information
Domain: sh
Host: a2.nic.sh.
IPv4 Addresses: 65.22.163.9 
IPv6 Addresses :2a01:8840:a1::9 
Description: Name server for domain ""sh"""
